companies._count,companies._start,companies._total,companies.values[0].companyType.code,companies.values[0].companyType.name,companies.values[0].emailDomains._total,companies.values[0].employeeCountRange.code,companies.values[0].employeeCountRange.name,companies.values[0].foundedYear,companies.values[0].id,companies.values[0].industries._total,companies.values[0].industries.values[0].code,companies.values[0].industries.values[0].name,companies.values[0].locations._total,companies.values[0].locations.values[0].address.city,companies.values[0].locations.values[0].address.postalCode,companies.values[0].locations.values[0].address.street1,companies.values[0].locations.values[0].contactInfo.fax,companies.values[0].locations.values[0].contactInfo.phone1,companies.values[0].locations.values[0].isActive,companies.values[0].locations.values[0].isHeadquarters,companies.values[0].locations.values[1].address.city,companies.values[0].locations.values[1].address.postalCode,companies.values[0].locations.values[1].address.street1,companies.values[0].locations.values[1].contactInfo.fax,companies.values[0].locations.values[1].contactInfo.phone1,companies.values[0].locations.values[1].isActive,companies.values[0].locations.values[1].isHeadquarters,companies.values[0].locations.values[2].address.city,companies.values[0].locations.values[2].address.postalCode,companies.values[0].locations.values[2].address.street1,companies.values[0].locations.values[2].contactInfo.fax,companies.values[0].locations.values[2].contactInfo.phone1,companies.values[0].locations.values[2].isActive,companies.values[0].locations.values[2].isHeadquarters,companies.values[0].locations.values[3].address.city,companies.values[0].locations.values[3].address.postalCode,companies.values[0].locations.values[3].address.street1,companies.values[0].locations.values[3].contactInfo.fax,companies.values[0].locations.values[3].contactInfo.phone1,companies.values[0].locations.values[3].isActive,companies.values[0].locations.values[3].isHeadquarters,companies.values[0].locations.values[4].address.city,companies.values[0].locations.values[4].address.postalCode,companies.values[0].locations.values[4].address.street1,companies.values[0].locations.values[4].contactInfo.fax,companies.values[0].locations.values[4].contactInfo.phone1,companies.values[0].locations.values[4].isActive,companies.values[0].locations.values[4].isHeadquarters,companies.values[0].locations.values[5].address.city,companies.values[0].locations.values[5].address.postalCode,companies.values[0].locations.values[5].address.street1,companies.values[0].locations.values[5].contactInfo.fax,companies.values[0].locations.values[5].contactInfo.phone1,companies.values[0].locations.values[5].isActive,companies.values[0].locations.values[5].isHeadquarters,companies.values[0].locations.values[6].address.city,companies.values[0].locations.values[6].address.street1,companies.values[0].locations.values[6].isActive,companies.values[0].locations.values[6].isHeadquarters,companies.values[0].locations.values[7].address.city,companies.values[0].locations.values[7].address.postalCode,companies.values[0].locations.values[7].address.street1,companies.values[0].locations.values[7].isActive,companies.values[0].locations.values[7].isHeadquarters,companies.values[0].name,companies.values[0].numFollowers,companies.values[0].specialties._total,companies.values[0].specialties.values[0],companies.values[0].specialties.values[10],companies.values[0].specialties.values[11],companies.values[0].specialties.values[12],companies.values[0].specialties.values[13],companies.values[0].specialties.values[14],companies.values[0].specialties.values[15],companies.values[0].specialties.values[1],companies.values[0].specialties.values[2],companies.values[0].specialties.values[3],companies.values[0].specialties.values[4],companies.values[0].specialties.values[5],companies.values[0].specialties.values[6],companies.values[0].specialties.values[7],companies.values[0].specialties.values[8],companies.values[0].specialties.values[9],companies.values[0].status.code,companies.values[0].status.name,companies.values[0].twitterId,companies.values[0].websiteUrl
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,P,Privately Held,0.0,F,501-1000,1912.0,6253626.0,1.0,117.0,Plásticos,5.0,Herzebrock-Clarholz,33442.0,Brocker Straße 1,,+49 5245430,True,True,Liptovský Mikuláš,031 04,Priemyselná zóna Okolicné,,+421 44 54759-11,True,False,Telford,TF1 7GN,Craemer House,,+44 1952 6078-00,True,False,Attendorn,57439.0,Benzstraße 22,,+49 2722 9545-0,True,False,Montreuil,,Tour Orion,,+33 1 55861065,True,False,,,,,,,,,,,,,,,,,Paul Craemer GmbH,124.0,3.0,Metal Forming,,,,,,,Plastics Processing,Tool Making,,,,,,,,OPR,Operating,,www.craemer.com
,,1,,,0.0,D,51-200,,9896047.0,,,,1.0,M?nster,48155.0,Rms 1.06 - 1.10 2nd Floor Haferlandweg 8 Section C1 & C2,,+49 6196999,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUALCOMM CDMA Technologies GmbH,134.0,,,,,,,,,,,,,,,,,,,,,http://www.qualcomm.de
,,1,,,0.0,,,,9584108.0,1.0,59.0,Servicios públicos,1.0,Erlangen-Innenstadt,91052.0,Schubertstr. 14,,+49 9131714,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesundheitsamt Erlangen-Höchstadt,2.0,,,,,,,,,,,,,,,,,,,,,http://www.erlangen-hoechstadt.de
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2,,,0.0,,,,12217276.0,1.0,122.0,Servicios infraestructurales,1.0,Erfurt,99092.0,70 Blumenstraße,,+49 3616639855,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip-Top Dienstleistungen GmbH,6.0,,,,,,,,,,,,,,,,,,,,,http://www.tip-top-erfurt.de
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,113,P,Privately Held,0.0,C,11-50,1964.0,2321426.0,1.0,128.0,Bienes inmuebles comerciales,1.0,Dallas,75207.0,1350 Manufacturing St.,214 7415020,214 7415018,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Lake Companies,156.0,6.0,Adaptive Urban Redevelopment,,,,,,,Lofts in Dallas,Office/Showrooms/Warehouses in Dallas,Bishop Arts District,Dallas Design District,Live/Work Studios in Dallas,,,,,OPR,Operating,thedallasdd,http://www.jimlakeco.com
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2,,,0.0,,,,1315094.0,1.0,43.0,Servicios financieros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLP Finanzdienstleistungen AG,512.0,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2,,,0.0,,,,12869881.0,,,,1.0,Teltow,14513.0,3 Potsdamer Str.,,+49 332841420,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feuerwehr Teltow,2.0,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,7,,,0.0,,,,12485949.0,1.0,115.0,Música,1.0,Roßdorf,64380.0,47 Darmstädter Str.,,+49 61545766230,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musikschule Darmstadt-Dieburg,2.0,,,,,,,,,,,,,,,,,,,,,http://www.musikschule-darmstadt-dieburg.de
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,P,Privately Held,0.0,D,51-200,1984.0,3911295.0,1.0,55.0,Maquinaria,1.0,Melle,49324.0,Maschweg 70,+49 5422 60507-101,+49 5422 60507-0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iNOEX GmbH,125.0,1.0,Mess- und Regelungstechnik,,,,,,,,,,,,,,,,OPR,Operating,,http://www.inoex.de
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,4,P,Privately Held,0.0,E,201-500,1997.0,677769.0,1.0,96.0,Servicios y tecnología de la información ,4.0,Erkrath,40699.0,Bessemerstraße 2-4,+49 211 88 26 10 00,+49 211 88 26 0,True,True,Ústí nad Labem,40001,Klíšská 977/77,+420 474 74 51 06,+420 474 74 51 01,True,False,Piła,64-920,ul. Motylewska 24,+48 67 352 15 02,+48 67 352 15 01,True,False,Székesfehérvár,8000.0,Aszalvölgyi u. 5.,+36 22 51 59 55,+36 22 51 59 50,True,False,,,,,,,,,,,,,,,,,,,,,,,,TimoCom Soft- und Hardware GmbH,2023.0,15.0,freight and vehicle exchange,freight exchange,electronic freight tendering,free loads,online marketplace,freight quotes,,freight purchasing,tendering platform,transportation,logistics,IT solution,Transport IT,esourcing,e-sourcing,scm,OPR,Operating,http://twitter.com/TimoCom,www.timocom.com
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2,,,0.0,C,11-50,,3852943.0,,,,1.0,Berlin,10557.0,"Europaplatz 1. Berlin,  10557. Germany",,+49 3029768141,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DB Station & Service AG,501.0,,,,,,,,,,,,,,,,,,,,,http://www.dbnetze.com
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,30,P,Privately Held,0.0,I,10001+,,14407.0,1.0,49.0,Materiales de construcción,2.0,Cotia,6713250.0,Rua Adolf Wurth 557,,551146131900,True,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wurth do Brasil Peças de Fixação Ltda.,19751.0,,,,,,,,,,,,,,,,,,OPR,Operating,,www.wurth.com.br
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,5,,,0.0,,,,12771099.0,1.0,44.0,Bienes inmobiliarios,1.0,Stade,21682.0,2 Hökerstraße,,+49 4141401,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Projektentwicklung Stade GmbH & Co.KG,4.0,,,,,,,,,,,,,,,,,,,,,http://www.projektentwicklung-stade.de
1.0,0.0,33408,P,Privately Held,0.0,D,51-200,1991.0,118595.0,1.0,135.0,Ingeniería industrial o mecánica,5.0,Lincoln,68504.0,2820 N 48th Street,,4024643833,True,True,Omaha,68114,8040 Davenport Street,,4023342155,True,False,Overland Park,66210,7400 College Boulevard,913 491 1838,913 951 8311,True,False,Pittsburgh,15212.0,100 S. Commons,,412.727.8388,True,False,Denver,80202.0,717 17th Street,,3033821920,True,False,,,,,,,,,,,,,,,,,M.E. GROUP,9915.0,9.0,MEP/T Design,,,,,,,Building Physics,Design Build,Commissioning,Retro-Commissioning,Occupant Experience,Building Simulations & Analysis,Certifications,Technology + Acoustics,,OPR,Operating,@megroup,www.megroup.com
1.0,0.0,2,P,Privately Held,0.0,E,201-500,2000.0,289314.0,1.0,8.0,Telecomunicaciones,1.0,New Delhi,110020.0,"Phase 1, Okhla Industrial Area",,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clay Telecom,3006.0,10.0,International SIM Cards,,,,,,,Global Prepaid SIM Card,Country-specific Postpaid SIM Cards,Country-specific and World Data Cards,Country-specific and Global Mi-Fi Services,VAT Reclaim,Calling Apps,Broadcast Pro App,Country Specific Prepaid SIM,Travel Insurance,OPR,Operating,,www.claytelecom.com
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,0.0,,,,12228316.0,,,,1.0,Raesfeld,46348.0,7 Silvesterstraße,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvesterschule Erle,0.0,,,,,,,,,,,,,,,,,,,,,http://www.silvesterschule.de
1.0,0.0,2408,P,Privately Held,0.0,F,501-1000,1991.0,85683.0,1.0,104.0,Dotación y selección de personal,1.0,Bromsgrove,B61 0GD,"Unit 1 Topaz Business Park, Topaz Way,",0121 504 4152,0121 504 3000,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Best Connection,5594.0,9.0,Temporary Labour - Driving,,,,,,,Temporary Labour - Warehouse and Distribution,Temporary Labour - Industrial,Temporary Labour - Retail,Temporary Labour - Local Authority,Temporary Labour - Automotive,Recruitment,Staffing,Driving Recruitment,,OPR,Operating,,www.thebestconnection.co.uk
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,0.0,,,,12343525.0,,,,1.0,Rosenheim,83022,16 Hechtseestraße,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aicovo Gmbh,1.0,,,,,,,,,,,,,,,,,,,,,http://www.aicovo.com
1.0,0.0,36,C,Public Company,0.0,D,51-200,1991.0,45188.0,1.0,96.0,Servicios y tecnología de la información ,1.0,München,81249,Clarita-Bernhard-Straße 27,+4989747257-900,+4989747257-0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHS VIVEON AG,1142.0,11.0,Customer Management,Vertriebssteuerung,,,,,,Customer Risk Management,Credit Management,CRM,Risk Management,Digital Marketing,Fraud Prevention,Microsoft Dynamics 365,Adobe Campaign,Marketing Automation,OPR,Operating,SHS_VIVEON,www.shs-viveon.com
1.0,0.0,8,,,0.0,B,2-10,,5981789.0,1.0,48.0,Construcción,1.0,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vinci Deutschland Gmbh,16.0,,,,,,,,,,,,,,,,,,,,,http://vinci-deutschland.de
,,1,O,Self Owned,0.0,C,11-50,1992.0,6123669.0,1.0,96.0,Servicios y tecnología de la información ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Harant GmbH & Co KG,11.0,5.0,Print-Management,,,,,,,Xerox Vertrieb,Xerox Printsysteme im B2B-Bereich,Managed Print Services,Service & Vertrieb digitale Produktionssysteme,,,,,,OPR,Operating,,www.team-harant.de
,,1,,,0.0,C,11-50,,5988594.0,1.0,142.0,Vino y licor,1.0,Bingen,55411,Mainzer Str. 186,,+49 672170,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Binderer St. Ursula Weinkellerei GmbH,42.0,,,,,,,,,,,,,,,,,,,,,http://www.binderer.de
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,4,P,Privately Held,0.0,D,51-200,,628370.0,1.0,96.0,Servicios y tecnología de la información ,1.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancom on line GmbH,91.0,,,,,,,,,,,,,,,,,,OPR,Operating,,www.cancom.de
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,D,Educational,0.0,G,1001-5000,2017.0,11285886.0,1.0,68.0,Enseñanza superior,1.0,Saarbrücken,66123,Saarland Informatics Campus E1.7,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saarland Informatics Campus,5.0,,,,,,,,,,,,,,,,,,,,,https://saarland-informatics-campus.de
